,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales
1615362,06/01/2020,Vente,"530000,00",23.0,BD,4760,JAMIN,51100.0,REIMS,51,454,BI,355,0,1.0,Maison,190.0,7.0
1615365,02/01/2020,Vente,"199000,00",81.0,BD,4760,JAMIN,51100.0,REIMS,51,454,BI,664,4,2.0,Appartement,75.0,4.0
1615369,06/01/2020,Vente,"122000,00",32.0,RUE,6920,PETIT DELBOURG,51100.0,REIMS,51,454,CL,573,1,2.0,Appartement,60.0,3.0
1615371,08/01/2020,Vente,"234730,00",7.0,RUE,1527,CAVELIER DE LA SALLE,51100.0,REIMS,51,454,EV,161,0,1.0,Maison,67.0,3.0
1615372,03/01/2020,Vente,"370700,00",7.0,IMP,1440,DES CARMELITES,51100.0,REIMS,51,454,IK,1347,1,2.0,Appartement,121.0,4.0
1615374,08/01/2020,Vente,"195000,00",13.0,RUE,2000,CLAUDE LORRAIN,51100.0,REIMS,51,454,AO,580,0,1.0,Maison,80.0,4.0
1615377,06/01/2020,Vente,"150000,00",14.0,RUE,5540,LINGUET,51100.0,REIMS,51,454,BE,234,3,2.0,Appartement,54.0,2.0
1615378,03/01/2020,Vente,"284912,00",36.0,RUE,2985,DU DR RENE JACQUINET,51100.0,REIMS,51,454,CZ,662,0,1.0,Maison,139.0,4.0
1615381,14/01/2020,Vente,"213000,00",53.0,AV,3455,DE L EUROPE,51100.0,REIMS,51,454,CN,283,0,1.0,Maison,91.0,5.0
1615382,07/01/2020,Vente,"145000,00",17.0,RUE,3650,FOLLE PEINE,51100.0,REIMS,51,454,CY,737,2,2.0,Appartement,54.0,2.0
1615384,10/01/2020,Vente,"35000,00",21.0,RUE,1590,DE CERNAY,51100.0,REIMS,51,454,CW,124,1,2.0,Appartement,56.0,2.0
1615389,10/01/2020,Vente,"212000,00",139.0,BD,0040,ALBERT 1 ER,51100.0,REIMS,51,454,AD,416,0,1.0,Maison,78.0,5.0
1615391,08/01/2020,Vente,"160000,00",39.0,RUE,6740,PASSE DEMOISELLES,51100.0,REIMS,51,454,HY,147,1,2.0,Appartement,70.0,3.0
1615392,09/01/2020,Vente,"185000,00",4.0,RUE,3060,DE DUNKERQUE,51100.0,REIMS,51,454,DR,97,0,1.0,Maison,117.0,6.0
1615394,07/01/2020,Vente,"150000,00",7.0,RUE,5950,DES MARMOUZETS,51100.0,REIMS,51,454,CX,432,1,2.0,Appartement,18.0,1.0
1615395,07/01/2020,Vente,"150000,00",7.0,RUE,5950,DES MARMOUZETS,51100.0,REIMS,51,454,CX,432,1,2.0,Appartement,16.0,1.0
1615396,09/01/2020,Vente,"246000,00",12.0,RUE,4756,JACQUES PREVERT,51100.0,REIMS,51,454,EY,491,0,1.0,Maison,95.0,5.0
1615405,15/01/2020,Vente,"173200,00",52.0,RUE,1550,CERES,51100.0,REIMS,51,454,CX,78,1,2.0,Appartement,69.0,3.0
1615414,09/01/2020,Vente,"135000,00",1.0,RUE,0108,ALFRED DE VIGNY,51100.0,REIMS,51,454,AD,566,2,2.0,Appartement,73.0,4.0
1615416,09/01/2020,Vente,"205000,00",2.0,RUE,8830,DES TROIS RAISINETS,51100.0,REIMS,51,454,CX,192,2,2.0,Appartement,125.0,4.0
1615417,09/01/2020,Vente,"205000,00",2.0,RUE,8830,DES TROIS RAISINETS,51100.0,REIMS,51,454,CX,192,5,2.0,Appartement,50.0,2.0
1615421,15/01/2020,Vente,"155400,00",24.0,RUE,4700,DE L ISLE,51100.0,REIMS,51,454,CX,106,2,2.0,Appartement,73.0,4.0
1615423,13/01/2020,Vente,"252000,00",21.0,RUE,0390,ARMAND GUERY,51100.0,REIMS,51,454,AV,1030,2,2.0,Appartement,91.0,5.0
1615429,06/01/2020,Vente,"116000,00",201.0,AV,4900,JEAN JAURES,51100.0,REIMS,51,454,BK,331,1,2.0,Appartement,67.0,3.0
1615433,06/01/2020,Vente,"173720,00",22.0,RUE,2470,COUTIER MARION,51100.0,REIMS,51,454,CH,871,0,1.0,Maison,90.0,4.0
1615434,15/01/2020,Vente,"121000,00",52.0,RUE,3280,EMILE ZOLA,51100.0,REIMS,51,454,AW,527,2,2.0,Appartement,93.0,5.0
1615436,06/01/2020,Vente,"290000,00",24.0,RUE,3480,FANART,51100.0,REIMS,51,454,AI,502,0,1.0,Maison,107.0,5.0
1615439,06/01/2020,Vente,"187000,00",24.0,RUE,2470,COUTIER MARION,51100.0,REIMS,51,454,CH,782,0,1.0,Maison,80.0,4.0
1615442,02/01/2020,Vente,"100125,00",79.0,RUE,2430,DE COURCELLES,51100.0,REIMS,51,454,AT,248,1,2.0,Appartement,28.0,2.0
1615444,09/01/2020,Vente,"156000,00",282.0,AV,5300,DE LAON,51100.0,REIMS,51,454,AX,693,1,2.0,Appartement,73.0,3.0
1615447,09/01/2020,Vente,"74000,00",3.0,ALL,2003,CLAUDE MONET,51100.0,REIMS,51,454,DK,198,1,2.0,Appartement,46.0,2.0
1615453,17/01/2020,Vente,"248000,00",87.0,RUE,6230,DU MONT D ARENE,51100.0,REIMS,51,454,AT,9,1,2.0,Appartement,66.0,3.0
1615459,10/01/2020,Vente,"225000,00",58.0,AV,3320,D EPERNAY,51100.0,REIMS,51,454,HW,50,2,2.0,Appartement,98.0,6.0
1615462,16/01/2020,Vente,"163000,00",18.0,RUE,1030,DE LA BONNE FEMME,51100.0,REIMS,51,454,DO,140,0,2.0,Appartement,45.0,2.0
1615463,16/01/2020,Vente,"163000,00",18.0,RUE,1030,DE LA BONNE FEMME,51100.0,REIMS,51,454,DO,140,0,2.0,Appartement,54.0,2.0
1615469,17/01/2020,Vente,"190000,00",23.0,BD,6750,PASTEUR,51100.0,REIMS,51,454,CK,310,2,2.0,Appartement,93.0,6.0
1615470,20/01/2020,Vente,"152000,00",25.0,RUE,5500,DE LA LIBERTE,51100.0,REIMS,51,454,AX,13,1,2.0,Appartement,48.0,2.0
1615473,20/01/2020,Vente,"65000,00",22.0,RUE,0740,BELIN,51100.0,REIMS,51,454,AX,276,1,2.0,Appartement,30.0,2.0
