,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Annee,Mois,Prix metre carre,Pays,Latitude,Longitude
0,2020-01-06,Vente,530000.0,23.0,BD,4760,JAMIN,51100,REIMS,51,454,BI,355,0,1.0,Maison,190.0,7.0,2020,1,2789.4736842105262,France,49.2615505,4.0460723
1,2020-01-02,Vente,199000.0,81.0,BD,4760,JAMIN,51100,REIMS,51,454,BI,664,4,2.0,Appartement,75.0,4.0,2020,1,2653.3333333333335,France,49.2634607,4.0442735
2,2020-01-06,Vente,122000.0,32.0,RUE,6920,PETIT DELBOURG,51100,REIMS,51,454,CL,573,1,2.0,Appartement,60.0,3.0,2020,1,2033.3333333333333,France,49.2513782,4.0509271
3,2020-01-08,Vente,234730.0,7.0,RUE,1527,CAVELIER DE LA SALLE,51100,REIMS,51,454,EV,161,0,1.0,Maison,67.0,3.0,2020,1,3503.4328358208954,France,49.2222819,4.0372329
4,2020-01-03,Vente,370700.0,7.0,IMP,1440,DES CARMELITES,51100,REIMS,51,454,IK,1347,1,2.0,Appartement,121.0,4.0,2020,1,3063.6363636363635,France,49.25213770000001,4.0271704
5,2020-01-08,Vente,195000.0,13.0,RUE,2000,CLAUDE LORRAIN,51100,REIMS,51,454,AO,580,0,1.0,Maison,80.0,4.0,2020,1,2437.5,France,49.26577289999999,4.0153875
6,2020-01-06,Vente,150000.0,14.0,RUE,5540,LINGUET,51100,REIMS,51,454,BE,234,3,2.0,Appartement,54.0,2.0,2020,1,2777.777777777778,France,49.25889189999999,4.0347132
7,2020-01-03,Vente,284912.0,36.0,RUE,2985,DU DR RENE JACQUINET,51100,REIMS,51,454,CZ,662,0,1.0,Maison,139.0,4.0,2020,1,2049.726618705036,France,49.24259259999999,4.0461019
8,2020-01-14,Vente,213000.0,53.0,AV,3455,DE L EUROPE,51100,REIMS,51,454,CN,283,0,1.0,Maison,91.0,5.0,2020,1,2340.6593406593406,France,49.2501071,4.0657837
9,2020-01-07,Vente,145000.0,17.0,RUE,3650,FOLLE PEINE,51100,REIMS,51,454,CY,737,2,2.0,Appartement,54.0,2.0,2020,1,2685.185185185185,France,49.245135,4.0331885
10,2020-01-10,Vente,35000.0,21.0,RUE,1590,DE CERNAY,51100,REIMS,51,454,CW,124,1,2.0,Appartement,56.0,2.0,2020,1,625.0,France,49.25754999999999,4.0432581
11,2020-01-10,Vente,212000.0,139.0,BD,40,ALBERT 1 ER,51100,REIMS,51,454,AD,416,0,1.0,Maison,78.0,5.0,2020,1,2717.948717948718,France,49.2738235,4.0153329
12,2020-01-08,Vente,160000.0,39.0,RUE,6740,PASSE DEMOISELLES,51100,REIMS,51,454,HY,147,1,2.0,Appartement,70.0,3.0,2020,1,2285.714285714286,France,49.2442958,4.021507199999999
13,2020-01-09,Vente,185000.0,4.0,RUE,3060,DE DUNKERQUE,51100,REIMS,51,454,DR,97,0,1.0,Maison,117.0,6.0,2020,1,1581.1965811965813,France,49.2354172,4.0169332
14,2020-01-07,Vente,150000.0,7.0,RUE,5950,DES MARMOUZETS,51100,REIMS,51,454,CX,432,1,2.0,Appartement,18.0,1.0,2020,1,8333.333333333334,France,49.255772,4.037014099999999
15,2020-01-07,Vente,150000.0,7.0,RUE,5950,DES MARMOUZETS,51100,REIMS,51,454,CX,432,1,2.0,Appartement,16.0,1.0,2020,1,9375.0,France,49.255772,4.037014099999999
16,2020-01-09,Vente,246000.0,12.0,RUE,4756,JACQUES PREVERT,51100,REIMS,51,454,EY,491,0,1.0,Maison,95.0,5.0,2020,1,2589.4736842105262,France,49.2173276,4.029643399999999
17,2020-01-15,Vente,173200.0,52.0,RUE,1550,CERES,51100,REIMS,51,454,CX,78,1,2.0,Appartement,69.0,3.0,2020,1,2510.144927536232,France,49.25707269999999,4.0385804
18,2020-01-09,Vente,135000.0,1.0,RUE,108,ALFRED DE VIGNY,51100,REIMS,51,454,AD,566,2,2.0,Appartement,73.0,4.0,2020,1,1849.3150684931506,France,49.2795864,4.012409700000001
19,2020-01-09,Vente,205000.0,2.0,RUE,8830,DES TROIS RAISINETS,51100,REIMS,51,454,CX,192,2,2.0,Appartement,125.0,4.0,2020,1,1640.0,France,49.2553649,4.0369535
20,2020-01-09,Vente,205000.0,2.0,RUE,8830,DES TROIS RAISINETS,51100,REIMS,51,454,CX,192,5,2.0,Appartement,50.0,2.0,2020,1,4100.0,France,49.2553649,4.0369535
21,2020-01-15,Vente,155400.0,24.0,RUE,4700,DE L ISLE,51100,REIMS,51,454,CX,106,2,2.0,Appartement,73.0,4.0,2020,1,2128.7671232876714,France,49.2548097,4.0399612
22,2020-01-13,Vente,252000.0,21.0,RUE,390,ARMAND GUERY,51100,REIMS,51,454,AV,1030,2,2.0,Appartement,91.0,5.0,2020,1,2769.230769230769,France,49.2671353,4.018845499999999
23,2020-01-06,Vente,116000.0,201.0,AV,4900,JEAN JAURES,51100,REIMS,51,454,BK,331,1,2.0,Appartement,67.0,3.0,2020,1,1731.3432835820895,France,49.2625573,4.0530879
24,2020-01-06,Vente,173720.0,22.0,RUE,2470,COUTIER MARION,51100,REIMS,51,454,CH,871,0,1.0,Maison,90.0,4.0,2020,1,1930.2222222222222,France,49.2455324,4.054861799999999
25,2020-01-15,Vente,121000.0,52.0,RUE,3280,EMILE ZOLA,51100,REIMS,51,454,AW,527,2,2.0,Appartement,93.0,5.0,2020,1,1301.0752688172042,France,49.2669522,4.0276865
26,2020-01-06,Vente,290000.0,24.0,RUE,3480,FANART,51100,REIMS,51,454,AI,502,0,1.0,Maison,107.0,5.0,2020,1,2710.2803738317757,France,49.2819694,4.030082999999999
27,2020-01-06,Vente,187000.0,24.0,RUE,2470,COUTIER MARION,51100,REIMS,51,454,CH,782,0,1.0,Maison,80.0,4.0,2020,1,2337.5,France,49.2455198,4.0551372
28,2020-01-02,Vente,100125.0,79.0,RUE,2430,DE COURCELLES,51100,REIMS,51,454,AT,248,1,2.0,Appartement,28.0,2.0,2020,1,3575.8928571428573,France,49.2597532,4.0199399
29,2020-01-09,Vente,156000.0,282.0,AV,5300,DE LAON,51100,REIMS,51,454,AX,693,1,2.0,Appartement,73.0,3.0,2020,1,2136.986301369863,France,49.2716471,4.0211698
30,2020-01-09,Vente,74000.0,3.0,ALL,2003,CLAUDE MONET,51100,REIMS,51,454,DK,198,1,2.0,Appartement,46.0,2.0,2020,1,1608.695652173913,France,49.2334137,4.0480516
31,2020-01-17,Vente,248000.0,87.0,RUE,6230,DU MONT D ARENE,51100,REIMS,51,454,AT,9,1,2.0,Appartement,66.0,3.0,2020,1,3757.5757575757575,France,49.2611564,4.0192366
32,2020-01-10,Vente,225000.0,58.0,AV,3320,D EPERNAY,51100,REIMS,51,454,HW,50,2,2.0,Appartement,98.0,6.0,2020,1,2295.918367346939,France,49.24507699999999,4.0119143
33,2020-01-16,Vente,163000.0,18.0,RUE,1030,DE LA BONNE FEMME,51100,REIMS,51,454,DO,140,0,2.0,Appartement,45.0,2.0,2020,1,3622.222222222222,France,49.2389768,4.0279391
34,2020-01-16,Vente,163000.0,18.0,RUE,1030,DE LA BONNE FEMME,51100,REIMS,51,454,DO,140,0,2.0,Appartement,54.0,2.0,2020,1,3018.5185185185187,France,49.2389768,4.0279391
35,2020-01-17,Vente,190000.0,23.0,BD,6750,PASTEUR,51100,REIMS,51,454,CK,310,2,2.0,Appartement,93.0,6.0,2020,1,2043.010752688172,France,49.2495384,4.043142899999999
36,2020-01-20,Vente,152000.0,25.0,RUE,5500,DE LA LIBERTE,51100,REIMS,51,454,AX,13,1,2.0,Appartement,48.0,2.0,2020,1,3166.6666666666665,France,49.2734138,4.0251089
37,2020-01-20,Vente,65000.0,22.0,RUE,740,BELIN,51100,REIMS,51,454,AX,276,1,2.0,Appartement,30.0,2.0,2020,1,2166.6666666666665,France,49.2684497,4.027513900000001
38,2020-01-20,Vente,247000.0,12.0,RUE,1350,DU CADRAN ST PIERRE,51100,REIMS,51,454,IL,265,2,2.0,Appartement,80.0,4.0,2020,1,3087.5,France,49.2561492,4.030071
39,2020-01-10,Vente,194000.0,2.0,RUE,6807,PAUL HATTAT NEUV,51100,REIMS,51,454,KK,58,0,1.0,Maison,76.0,3.0,2020,1,2552.6315789473683,France,49.287408,4.0049945
40,2020-01-03,Vente,280000.0,6.0,RUE,1710,DE CHAMPIGNY,51100,REIMS,51,454,AR,291,0,2.0,Appartement,17.0,1.0,2020,1,16470.58823529412,France,49.2625058,4.0189528
42,2020-01-03,Vente,280000.0,6.0,RUE,1710,DE CHAMPIGNY,51100,REIMS,51,454,AR,291,0,2.0,Appartement,21.0,1.0,2020,1,13333.333333333334,France,49.2625058,4.0189528
44,2020-01-03,Vente,280000.0,6.0,RUE,1710,DE CHAMPIGNY,51100,REIMS,51,454,AR,291,0,2.0,Appartement,34.0,1.0,2020,1,8235.29411764706,France,49.2625058,4.0189528
